date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:42	29364/29364	---M--	200	added ('OK')	image/jpeg	etag:%220934070d0b0cf1:0%22	http://m.colincowie.com/img/clients/full/img-ap.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/clients/full/img-ap.jpg	(from http://m.colincowie.com/corporate.asp)
00:41:44	29578/29578	---M--	200	added ('OK')	image/jpeg	etag:%2201ad473d0b0cf1:0%22	http://m.colincowie.com/img/clients/full/img-ins.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/clients/full/img-ins.jpg	(from http://m.colincowie.com/corporate.asp)
00:41:47	24246/24246	---M--	200	added ('OK')	image/jpeg	etag:%22022cc22e0b0cf1:0%22	http://m.colincowie.com/img/videos/thumb/cc-todayshow.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/videos/thumb/cc-todayshow.jpg	(from http://m.colincowie.com/corporate.asp)
00:41:49	38893/38893	---M--	200	added ('OK')	image/jpeg	etag:%22022cc22e0b0cf1:0%22	http://m.colincowie.com/img/videos/thumb/super-rich2.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/videos/thumb/super-rich2.jpg	(from http://m.colincowie.com/corporate.asp)
00:41:50	32729/32729	---M--	200	added ('OK')	image/jpeg	etag:%22022cc22e0b0cf1:0%22	http://m.colincowie.com/img/videos/thumb/tdyshw-cc_oprah.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/videos/thumb/tdyshw-cc_oprah.jpg	(from http://m.colincowie.com/corporate.asp)
00:41:50	18075/18075	---M--	200	added ('OK')	image/jpeg	etag:%22022cc22e0b0cf1:0%22	http://m.colincowie.com/img/videos/thumb/power-pitch.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/videos/thumb/power-pitch.jpg	(from http://m.colincowie.com/corporate.asp)
00:41:53	25828/25828	---M--	200	added ('OK')	image/jpeg	etag:%22022cc22e0b0cf1:0%22	http://m.colincowie.com/img/videos/thumb/colin-nateberkus.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/videos/thumb/colin-nateberkus.jpg	(from http://m.colincowie.com/corporate.asp)
00:41:54	268468/268468	---M--	200	added ('OK')	image/jpeg	etag:%220fa24f32758d01:0%22	http://m.colincowie.com/img/mobile/13-howwework.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/mobile/13-howwework.jpg	(from http://m.colincowie.com/how-we-work.asp)
00:41:55	33228/33228	---M--	200	added ('OK')	image/jpeg	etag:%22022cc22e0b0cf1:0%22	http://m.colincowie.com/img/videos/thumb/cc-cityguide.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/videos/thumb/cc-cityguide.jpg	(from http://m.colincowie.com/corporate.asp)
00:42:02	69027/69027	---M--	200	added ('OK')	image/jpeg	etag:%220513e47c1cf1:0%22	http://m.colincowie.com/img/gallery_wed.jpg	C:/My%20Web%20Sites/original_mbil/m.colincowie.com/img/gallery_wed.jpg	(from http://m.colincowie.com/gallery.asp)
